aX,aY,aZ,gX,gY,gZ
0.463,-1.259,1.159,-0.122,-42.664,-178.162
0.503,-1.157,1.127,-53.162,7.996,-66.406
0.401,-1.072,1.173,-60.425,83.008,-5.554
0.520,-0.980,0.995,-19.409,154.785,61.829
0.707,-0.698,0.857,10.132,14.832,118.408
0.543,-0.656,0.964,20.447,52.490,144.531
0.517,-0.615,0.922,23.926,117.371,213.562
0.415,-0.393,0.813,41.443,130.737,269.775
0.273,0.116,0.723,40.405,160.095,309.875
0.107,0.647,0.429,16.113,188.049,307.434
0.095,1.045,0.215,-15.259,199.097,293.823
-0.031,1.247,-0.203,-53.528,210.937,284.119
-0.063,1.397,-0.575,5.676,172.791,268.311
-0.051,1.936,-0.729,80.383,104.675,200.806
-0.054,2.268,-0.784,46.875,38.391,94.055
-0.066,1.763,-0.639,18.555,2.136,-49.805
0.052,1.573,-0.478,14.648,-40.649,-104.126
0.104,1.517,-0.345,11.230,-71.228,-163.513
0.086,1.265,-0.222,-0.549,-108.337,-225.281
0.113,0.806,-0.085,0.000,-147.461,-263.916
0.182,0.842,0.009,5.920,-177.124,-258.667
0.243,0.488,0.374,4.028,-224.609,-283.447
0.297,0.133,0.491,16.296,-189.087,-273.254
0.305,-0.041,0.660,52.429,-161.804,-278.809
0.323,-0.601,0.692,48.828,-157.654,-281.433
0.509,-0.961,1.453,-46.875,-143.372,-191.406
0.532,-1.034,1.253,-8.972,-59.204,-111.633
0.641,-0.764,1.188,-4.944,-32.288,-52.185
0.501,-0.979,1.351,-48.279,5.249,-22.888
0.603,-0.980,1.058,-25.696,58.289,37.903
0.645,-0.732,0.837,9.277,61.646,74.524
0.694,-0.514,0.695,-16.174,61.279,113.953
0.577,-0.415,0.860,-23.193,64.209,124.756
0.455,-0.617,0.845,0.610,91.553,179.260
0.302,-0.097,0.710,-10.010,115.356,282.593
0.343,0.656,0.437,-17.517,183.716,296.448
0.395,0.776,0.209,13.184,154.541,254.333
0.406,0.750,0.206,73.242,95.947,229.553
0.297,0.891,0.079,27.832,85.999,257.874
0.230,1.123,0.007,5.432,64.880,273.193
0.159,1.650,-0.090,11.658,74.158,248.962
0.178,1.728,-0.122,14.648,35.400,91.370
0.200,1.611,-0.094,46.326,20.996,10.376
0.204,1.561,-0.136,19.836,-5.493,-38.269
0.209,1.543,-0.080,20.386,-27.283,-94.299
0.259,1.373,0.052,21.057,-56.885,-154.968
0.312,1.247,0.260,48.340,-83.801,-217.163
0.228,0.824,0.293,60.852,-99.792,-277.283
0.310,0.708,0.547,27.527,-103.638,-287.781
0.290,0.346,0.635,24.902,-80.750,-305.298
0.375,-0.187,0.408,19.104,-54.260,-294.495
0.425,-0.190,0.466,8.850,-76.416,-247.192
0.460,-0.459,0.419,33.630,-84.656,-244.019
0.418,-0.557,0.866,9.277,-114.075,-199.341
0.444,-0.854,1.096,7.385,-80.139,-167.603
0.537,-0.910,0.965,-9.766,-44.678,-101.807
0.529,-0.824,1.120,-14.160,-10.742,-69.641
0.544,-1.347,0.996,-34.546,5.737,7.812
0.545,-1.080,0.993,-21.484,25.146,85.876
0.522,-0.827,0.860,-14.160,34.546,124.939
0.466,-0.646,0.877,-33.203,54.321,175.842
0.443,-0.537,0.872,-29.480,63.232,204.285
0.399,-0.531,0.816,-4.944,89.661,249.145
0.349,0.037,0.617,20.874,103.394,278.625
0.226,0.195,0.497,15.442,104.980,305.237
0.266,0.628,0.585,14.465,93.750,304.016
0.233,1.008,0.513,-3.540,118.530,309.387
0.075,1.416,-0.077,-1.526,136.230,313.843

0.770,0.239,0.587,-11.597,1.465,-24.170
0.775,0.115,0.575,-4.822,3.174,-15.503
0.770,0.038,0.570,-4.089,1.648,-2.441
0.763,0.118,0.605,5.066,-3.357,4.456
0.755,0.188,0.642,8.667,-3.357,1.221
0.779,0.106,0.638,4.211,-4.089,-2.563
0.785,0.080,0.624,2.197,-1.953,4.883
0.803,0.154,0.640,6.104,1.953,14.282
0.864,0.674,0.805,-17.456,4.822,3.357
0.826,0.926,0.639,-25.146,29.541,-62.439
0.794,0.589,0.359,-26.306,55.908,-97.107
0.807,0.733,0.505,-45.898,32.776,-137.878
0.694,0.471,0.331,-44.495,27.527,-196.533
0.646,-0.215,0.276,12.451,-28.198,-207.336
