aX,aY,aZ,gX,gY,gZ
0.762,0.068,0.655,0.366,-0.366,0.122
0.761,0.067,0.658,0.000,0.061,0.061
0.763,0.070,0.657,0.061,0.122,-0.183
0.761,0.066,0.657,-0.061,0.244,-0.610
0.758,0.064,0.657,0.122,0.244,0.366
0.762,0.065,0.655,0.549,0.000,-0.244
0.759,0.062,0.656,0.000,0.427,-0.122
0.758,0.065,0.646,-0.366,0.427,0.366
0.764,0.065,0.652,0.183,-0.488,0.000
0.760,0.067,0.651,-0.061,-0.549,-0.122
0.761,0.066,0.663,0.061,-0.122,-0.122
0.764,0.071,0.664,0.427,0.427,0.000
0.764,0.071,0.656,0.122,0.549,-0.366
0.761,0.065,0.648,-0.061,0.549,-0.488
0.762,0.066,0.651,-0.183,0.305,-0.366
0.760,0.061,0.651,-0.122,0.061,-0.916
0.759,0.062,0.656,-0.305,0.366,-0.061
0.760,0.062,0.658,0.061,-0.183,-0.122
0.760,0.063,0.657,0.244,0.000,0.183
0.763,0.069,0.657,0.183,0.366,0.122
0.762,0.066,0.652,-0.183,0.610,-0.244
0.763,0.070,0.648,0.427,-0.183,0.427
0.761,0.066,0.657,-0.183,0.000,-0.244
0.761,0.064,0.652,-0.061,0.366,-0.671
0.759,0.060,0.656,0.183,-0.183,0.000
0.759,0.061,0.659,0.305,-0.244,0.244
0.763,0.066,0.655,0.122,0.610,0.488
0.760,0.065,0.652,0.000,0.610,0.305
0.765,0.072,0.652,0.488,-0.488,0.244
0.765,0.073,0.649,0.122,-0.061,-0.427
0.761,0.066,0.655,-0.061,0.000,-0.610
0.762,0.064,0.661,0.122,0.366,-0.305
0.759,0.061,0.654,-0.244,0.732,-0.122
0.760,0.061,0.650,0.122,0.061,0.244
0.761,0.061,0.650,0.305,-0.305,0.000
0.761,0.065,0.650,0.183,-0.122,0.549
0.761,0.067,0.651,0.183,-0.549,0.549
0.765,0.070,0.658,0.427,-0.366,0.000
0.765,0.074,0.661,0.061,-0.122,0.061
0.762,0.068,0.662,-0.244,0.427,-0.061
0.765,0.069,0.651,0.183,0.854,-0.427
0.757,0.059,0.644,0.061,0.244,-0.793
