aX,aY,aZ,gX,gY,gZ
0.293,0.167,-0.034,-44.800,223.328,-7.690
0.294,0.080,-0.300,-34.058,179.810,-12.573
0.308,0.034,-0.605,-26.550,132.324,-23.682
0.287,0.072,-0.716,-16.296,74.097,-19.836
0.317,0.047,-0.552,7.141,-24.719,-19.836
0.288,0.033,-0.361,31.250,-101.440,-10.986
0.253,0.005,-0.283,43.823,-188.049,12.390
0.249,0.145,-0.017,57.068,-243.835,8.118
0.224,0.029,0.247,86.731,-273.376,-17.639
0.176,-0.055,0.467,78.918,-291.382,-13.550
0.085,-0.001,0.691,39.612,-292.542,13.428
0.236,0.008,1.082,29.663,-277.649,6.897
0.307,-0.048,1.278,38.269,-269.714,34.363
0.157,-0.054,1.504,82.764,-229.309,-42.908
0.305,-0.134,1.620,83.984,-197.571,-35.217
0.265,-0.038,1.668,34.180,-132.019,3.723
0.163,-0.023,1.690,21.362,-90.759,11.108
0.242,-0.035,1.843,13.916,-62.683,-0.061
0.247,0.009,2.001,9.155,-18.555,14.587
0.301,0.041,2.146,-10.559,42.969,28.992
0.424,0.119,2.235,-23.010,114.319,34.912
0.215,0.110,1.861,-29.053,177.307,-7.812
0.295,-0.041,1.844,-49.866,257.751,2.380
0.210,-0.040,1.542,-66.467,310.730,-7.446
0.216,-0.035,1.221,-103.638,309.082,-13.306
0.286,-0.030,1.004,-125.244,321.045,7.202
0.201,0.007,0.541,-108.643,317.627,18.066
0.308,0.031,0.281,-114.502,234.802,27.283
0.326,0.023,0.089,-100.220,157.227,24.109
0.332,0.019,-0.044,-63.843,144.348,0.427
0.408,-0.002,-0.170,-31.067,156.616,-10.498
0.394,0.102,-0.291,3.052,151.611,-25.574
0.336,0.034,-0.480,6.409,103.699,-26.367
0.343,0.003,-0.530,9.583,23.987,-17.944
0.399,-0.036,-0.392,29.663,-71.167,-7.568
0.501,0.070,-0.170,38.330,-122.559,12.024
0.533,0.159,0.032,30.029,-164.673,21.851
0.537,0.136,0.169,43.030,-181.152,23.193
0.468,0.070,0.213,75.989,-199.219,11.963
0.405,0.248,0.414,74.707,-229.675,9.521
0.441,0.061,0.745,58.350,-254.822,13.306
0.452,-0.039,1.024,76.294,-306.763,37.231
0.467,0.068,1.322,129.089,-254.822,4.822
0.576,0.100,1.525,136.169,-198.547,24.780
0.439,0.174,1.406,101.746,-123.047,1.160
0.390,0.041,1.254,62.866,-90.332,-17.944
0.415,-0.100,1.312,27.039,-69.946,-21.912
0.545,-0.083,1.570,1.282,-27.588,15.625
0.356,0.054,1.398,32.776,12.146,-11.292
0.303,0.023,1.246,27.649,27.283,-36.255
0.370,-0.042,1.191,1.038,25.085,-16.602
0.369,-0.032,1.136,-0.977,53.955,-13.611
0.397,-0.036,1.053,-9.277,39.063,-23.499
0.360,-0.079,0.959,-9.155,27.527,-15.503
0.345,-0.108,0.929,-13.550,24.170,-9.277
0.334,-0.097,0.870,-13.916,15.991,-6.042
0.346,-0.103,0.874,-9.827,4.639,-2.197
0.387,-0.093,0.958,-8.850,3.052,1.648
0.368,-0.079,0.931,-6.165,10.254,3.296
0.344,-0.061,0.887,-7.996,-2.502,-0.366
0.348,-0.062,0.901,-4.517,-10.315,3.174
0.385,-0.060,0.956,-1.343,-5.798,6.287
0.444,-0.035,1.056,-3.479,9.399,10.376
0.361,-0.017,0.964,-7.019,22.522,8.118
0.349,-0.024,0.882,-7.996,13.733,-0.183
0.345,-0.041,0.830,0.000,0.610,1.831
0.333,-0.039,0.835,4.883,-16.418,5.798
0.323,-0.001,0.872,0.977,-24.780,4.639
0.362,-0.022,0.973,-6.409,-33.203,0.793
0.380,-0.024,1.006,-4.578,-29.358,0.549
0.359,-0.002,0.981,2.441,-21.057,0.732
0.336,-0.001,0.950,0.671,-11.963,-0.488
0.312,-0.003,0.928,-1.587,-9.155,-3.357
0.310,-0.027,0.935,-3.479,-15.015,-5.554

0.273,-0.049,0.961,-1.465,-4.578,2.930
0.273,-0.036,0.969,1.465,-3.418,0.305
0.277,-0.031,0.966,1.099,-2.136,-0.061
0.265,-0.032,0.964,0.366,-2.441,-1.526
0.268,-0.040,0.980,0.427,-4.089,-0.671
0.281,-0.031,1.013,0.671,-2.441,-0.244
0.269,-0.035,0.991,-0.549,1.709,-1.648
0.266,-0.034,0.970,0.427,1.770,-1.160
0.260,-0.036,0.960,0.854,0.671,-1.160
0.251,-0.040,0.950,-1.343,-2.197,-0.488
0.257,-0.043,0.958,0.732,-5.432,-3.174
0.265,-0.044,0.974,0.549,-5.615,-0.793
0.262,-0.043,0.974,-1.099,-3.906,-0.122
0.257,-0.044,0.972,-0.244,-4.272,-0.183
0.253,-0.052,0.965,1.160,-4.517,-1.160
0.250,-0.056,0.956,1.404,-5.676,-0.793
0.247,-0.042,0.937,1.892,-6.958,0.000
0.236,-0.041,0.924,2.319,-10.498,-1.282
0.227,-0.037,0.933,2.930,-15.747,-0.916
0.230,-0.049,0.946,5.127,-18.555,-3.113
0.211,-0.067,0.954,7.263,-21.240,-1.343
0.203,-0.086,0.955,11.536,-26.672,2.258
0.252,-0.082,1.075,7.080,-23.254,9.644
0.315,-0.063,1.210,-5.066,3.601,11.108
0.329,-0.074,1.254,-14.954,20.630,9.888
0.424,-0.016,1.440,-21.790,30.640,19.714
0.493,0.094,1.574,-18.677,62.012,17.456
0.387,0.073,1.404,-41.260,67.444,12.573
0.507,0.039,1.575,-58.655,73.425,17.639
0.514,0.101,1.612,-45.349,113.403,-6.958
0.473,0.056,1.454,-52.490,152.161,-19.958
0.411,0.107,1.323,-63.110,174.927,-19.897
0.460,0.095,1.227,-74.951,190.491,-20.447
0.385,0.103,0.984,-78.552,208.374,-16.785
0.416,0.107,0.724,-70.557,207.031,-25.757
0.413,0.081,0.527,-63.721,186.279,-32.227
0.388,0.059,0.305,-65.491,191.956,-27.100
0.407,0.087,0.167,-47.607,194.153,-26.550
0.423,0.062,0.003,-24.475,190.857,-46.570
0.453,0.031,-0.072,-26.001,177.490,-38.330
0.472,0.030,-0.197,-21.851,152.222,-27.771
0.562,0.008,-0.145,-14.465,91.125,-18.127
0.550,-0.042,-0.159,0.916,67.444,-7.935
0.435,-0.171,-0.365,7.141,36.560,-4.883
0.390,-0.149,-0.545,9.888,-24.963,17.944
0.451,-0.019,-0.439,13.611,-116.943,32.837
0.475,-0.018,-0.196,27.832,-164.795,29.358
0.393,-0.024,-0.078,43.213,-179.626,31.128
0.358,0.031,-0.010,35.767,-222.046,44.800
0.254,0.111,0.210,41.626,-262.695,54.749
0.213,0.080,0.393,51.636,-297.424,41.565
0.236,0.082,0.775,53.955,-292.603,48.889
0.166,0.098,1.041,74.280,-272.034,45.288
0.227,-0.008,1.199,105.286,-284.058,39.673
-0.071,-0.073,1.229,134.583,-286.926,8.362
